id	name	zip	county_id	county_name	slug	populity	type
2419	Aba	8127	7	Fejér	aba	4667	Nagyközség
2420	Aba (Belsőbáránd)	8128	7	Fejér	belsobarand	0	
1600	Abádszalók	5241	16	Jász-Nagykun-Szolnok	abadszalok	4673	Város
1102	Abaújalpár	3882	5	Borsod-Abaúj-Zemplén	abaujalpar	86	Község
1064	Abaújlak	3815	5	Borsod-Abaúj-Zemplén	abaujlak	106	Község
2966	Abda	9151	8	Győr-Moson-Sopron	abda	3110	Község
1026	Abod	3753	5	Borsod-Abaúj-Zemplén	abod	229	Község
578	Abony	2740	13	Pest	abony	15552	Város
647	Ács	2941	11	Komárom-Esztergom	acs-varos	7215	Város
552	Acsa	2683	13	Pest	acsa	1485	Nagyközség
3178	Acsád	9746	18	Vas	acsad	712	Község
2977	Acsalag	9168	8	Győr-Moson-Sopron	acsalag	492	Község
631	Ácsteszér	2887	11	Komárom-Esztergom	acsteszer	718	Község
798	Adács	3292	10	Heves	adacs	2831	község
2693	Ádánd	8653	14	Somogy	adand	2246	Község
2642	Adásztevel	8561	19	Veszprém	adasztevel	860	Község
444	Adony	2457	7	Fejér	adony	3780	Város
1754	Ágasegyháza	6076	3	Bács-Kiskun	agasegyhaza	1923	Község
3055	Ágfalva	9423	8	Győr-Moson-Sopron	agfalva	2095	Község
1032	Aggtelek	3759	5	Borsod-Abaúj-Zemplén	aggtelek	612	Község
3062	Agyagosszergény	9441	8	Győr-Moson-Sopron	agyagosszergeny	884	Község
1399	Ajak	4524	15	Szabolcs-Szatmár-Bereg	ajak	3999	Nagyközség
2548	Ajka	8400	19	Veszprém	ajka	30946	Város
2583	Ajka (Ajkarendek)	8447	19	Veszprém	ajkarendek	0	
2584	Ajka (Bakonygyepes)	8448	19	Veszprém	bakonygyepes	0	
2586	Ajka (Padragkút)	8451	19	Veszprém	padragkut	0	
622	Aka	2862	11	Komárom-Esztergom	aka	252	Község
1785	Akasztó	6221	3	Bács-Kiskun	akaszto	3543	Község
1047	Alacska	3779	5	Borsod-Abaúj-Zemplén	alacska	879	Község
1943	Alap	7011	7	Fejér	alap	2093	Község
1586	Alattyán	5142	16	Jász-Nagykun-Szolnok	alattyan	2163	Község
574	Albertirsa	2730	13	Pest	albertirsa	12426	Város
2397	Alcsútdoboz	8087	7	Fejér	alcsutdoboz	1490	Község
833	Aldebrő	3353	10	Heves	aldebro	729	község
